"","linenumber","sentiment","method","text","created_at","favorite_count","retweet_count","date"
"94",94,-3,"AFINN","Puerto Rico is in great shape with Hurricane Dorian taking a largely different route than anticipated. Thank you to FEMA, first responders, and all, for working so hard &amp; being so well prepared. A great result! The bad news, Florida get ready! Storm is building and will be BIG!",2019-08-29 10:58:11,50398,11145,"2019-08-29"
"95",95,4,"AFINN","“Look what [@realDonaldTrump] did with Japan at the G7. This is a huge trade agreement he secured with them— agriculture, beef, but also digital technology.” -@KellyannePolls https://t.co/Th4QQXFKwX",2019-08-29 02:33:04,0,11379,"2019-08-29"
"96",96,1,"AFINN","During the last Administration the VA was removing Bibles &amp; even banning Christmas carols to be politically correct, but under President @realDonaldTrump, VA hospitals will NOT be religion-free zones. Message to the New Hampshire VA: the Bible STAYS! -@AmericanLegion https://t.co/f35NY28Jc5",2019-08-29 02:32:01,0,15913,"2019-08-29"
"97",97,-9,"AFINN","There has never been a time in the history of our Country that the Media was so Fraudulent, Fake, or Corrupt! When the “Age of Trump” is looked back on many years from now, I only hope that a big part of my legacy will be the exposing of massive dishonesty in the Fake News!",2019-08-29 00:35:10,145599,35702,"2019-08-29"
"98",98,-7,"AFINN","The  Amazon Washington Post and @CNN just did a Fake Interview on Pardons for Aids on the Wall, and that I didn’t think the Wall on the Southern Border was that important to stop Illegals wanting to come into our Country. WRONG, vitally important. Will make a BIG impact. So bad!",2019-08-29 00:21:40,57474,14037,"2019-08-29"
"99",99,-1,"AFINN","A sad day for the Democrats, Kirsten Gillibrand has dropped out of the Presidential Primary. I’m glad they never found out that she was the one I was really afraid of!",2019-08-28 22:26:36,209423,34759,"2019-08-28"
"100",100,2,"AFINN","Thank you for the support as we MAKE AMERICA GREAT AGAIN! https://t.co/qKgwRMSgcf",2019-08-28 19:10:18,118652,30715,"2019-08-28"
"101",101,-7,"AFINN","Another totally Fake story in the Amazon Washington Post (lobbyist) which states that if my Aides broke the law to build the Wall (which is going up rapidly), I would give them a Pardon. This was made up by the Washington Post only in order to demean and disparage - FAKE NEWS!",2019-08-28 19:06:39,79598,20301,"2019-08-28"
"102",102,0,"AFINN","The Wall is going up very fast despite total Obstruction by Democrats in Congress, and elsewhere! https://t.co/12tIW3aNQP https://t.co/2nFIEFppho",2019-08-28 17:48:59,94344,24517,"2019-08-28"
"103",103,0,"AFINN","....And by the way, I’m the best thing that’s ever happened to Puerto Rico!",2019-08-28 14:45:28,73881,14708,"2019-08-28"
"104",104,-1,"AFINN","Puerto Rico is one of the most corrupt places on earth. Their political system is broken and their politicians are either Incompetent or Corrupt. Congress approved Billions of Dollars last time, more than anyplace else has ever gotten, and it is sent to Crooked Pols. No good!....",2019-08-28 14:45:28,89088,20129,"2019-08-28"
"105",105,-2,"AFINN","Our Federal Reserve cannot “mentally” keep up with the competition - other countries. At the G-7 in France, all of the other Leaders were giddy about how low their Interest Costs have gone. Germany is actually “getting paid” to borrow money - ZERO INTEREST PLUS! No Clue Fed!",2019-08-28 14:36:41,55605,15277,"2019-08-28"
"106",106,8,"AFINN","....I don’t want to Win for myself, I only want to Win for the people. The New @FoxNews is letting millions of GREAT people down! We have to start looking for a new News Outlet. Fox isn’t working for us anymore!",2019-08-28 14:03:36,104692,26640,"2019-08-28"
"107",107,1,"AFINN","....are all in for the Open Border Socialists (or beyond). Fox hires “give Hillary the questions” @donnabrazile, Juan Williams and low ratings Shep Smith. HOPELESS &amp; CLUELESS! They should go all the way LEFT and I will still find a way to Win - That’s what I do, Win. Too Bad!....",2019-08-28 13:57:56,53475,12704,"2019-08-28"
"108",108,-2,"AFINN","Just watched @FoxNews heavily promoting the Democrats through their DNC Communications Director, spewing out whatever she wanted with zero pushback by anchor, @SandraSmithFox. Terrible considering that Fox couldn’t even land a debate, the Dems give them NOTHING! @CNN &amp; @MSNBC....",2019-08-28 13:57:56,58364,14375,"2019-08-28"
"109",109,4,"AFINN","Would be very hard for Jeremy Corbyn, the leader of Britain’s Labour Party, to seek a no-confidence vote against New Prime Minister Boris Johnson, especially in light of the fact that Boris is exactly what the U.K. has been looking for, &amp; will prove to be “a great one!” Love U.K.",2019-08-28 13:36:43,92949,21358,"2019-08-28"
"110",110,-2,"AFINN","We are tracking closely tropical storm Dorian as it heads, as usual, to Puerto Rico. FEMA and all others are ready,  and will do a great job. When they do, let them know it, and give them a big Thank You - Not like last time. That includes from the incompetent Mayor of San Juan!",2019-08-28 12:15:18,59356,13955,"2019-08-28"
"111",111,-1,"AFINN","So interesting to read and see all of the free and interesting advice I am getting on China, from people who have tried to handle it before and failed miserably - In fact, they got taken to the cleaners. We are doing very well with China. This has never happened to them before!",2019-08-28 12:06:23,111839,24407,"2019-08-28"
